seriesID,trait.name,T,trait,ErrorPosSI,ErrorNegSI,Trait2.name,Trait,host.code,paras.code,Citation,Figure,Notes
Numazu_3,1/MDR,35,9.8,NA,NA,Population,Coachella Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 1,
Numazu_3,1/MDR,15,29.1,NA,NA,Population,San Joaquin Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 1,
Numazu_3,1/MDR,20,22.4,NA,NA,Population,San Joaquin Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 1,
Numazu_3,1/MDR,25,16.2,NA,NA,Population,San Joaquin Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 1,
Numazu_3,1/MDR,30,10.4,NA,NA,Population,San Joaquin Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 1,
Numazu_3,1/MDR,35,10.8,NA,NA,Population,San Joaquin Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 1,
Numazu_6,1/MDR,14,34,NA,NA,Population,Coachella Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,20,25,NA,NA,Population,Coachella Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,26,12,NA,NA,Population,Coachella Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,32,9,NA,NA,Population,Coachella Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,14,30,NA,NA,Population,Coachella Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,20,19,NA,NA,Population,Coachella Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,26,11,NA,NA,Population,Coachella Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,32,9,NA,NA,Population,Coachella Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,14,35,NA,NA,Population,Coachella Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,20,25,NA,NA,Population,Coachella Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,26,14,NA,NA,Population,Coachella Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,32,11,NA,NA,Population,Coachella Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,14,36,NA,NA,Population,San Joaquin Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,20,25,NA,NA,Population,San Joaquin Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,26,14,NA,NA,Population,San Joaquin Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,32,8,NA,NA,Population,San Joaquin Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,20,20,NA,NA,Population,San Joaquin Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,26,12,NA,NA,Population,San Joaquin Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,32,11,NA,NA,Population,San Joaquin Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,14,35,NA,NA,Population,San Joaquin Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,20,24,NA,NA,Population,San Joaquin Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,26,15,NA,NA,Population,San Joaquin Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Numazu_6,1/MDR,32,12,NA,NA,Population,San Joaquin Valley,Ctar,NA,Reisen_1995_JMedEntomol,Table 2,
Moye_005,1/MDR,19,15.6,NA,NA,Population,Coachella Valley,Ctar,WNV,Dodson_2012_Parasites&Vectors,Table 2,Day to first emergence (not mean)
Moye_005,1/MDR,25,10,NA,NA,Population,Coachella Valley,Ctar,WNV,Dodson_2012_Parasites&Vectors,Table 2,Day to first emergence (not mean)
Moye_005,1/MDR,31,9.2,NA,NA,Population,Coachella Valley,Ctar,WNV,Dodson_2012_Parasites&Vectors,Table 2,Day to first emergence (not mean)
Moye_005,1/MDR,19,17,NA,NA,Population,Coachella Valley,Ctar,WNV,Dodson_2012_Parasites&Vectors,Table 2,Day to first emergence (not mean)
Moye_005,1/MDR,25,9.8,NA,NA,Population,Coachella Valley,Ctar,WNV,Dodson_2012_Parasites&Vectors,Table 2,Day to first emergence (not mean)
Moye_005,1/MDR,31,10.6,NA,NA,Population,Coachella Valley,Ctar,WNV,Dodson_2012_Parasites&Vectors,Table 2,Day to first emergence (not mean)
Moye_006,1/MDR,19,17,NA,NA,Population,Yolo County,Ctar,WNV,Dodson_2012_Parasites&Vectors,Table 2,Day to first emergence (not mean)
Moye_006,1/MDR,25,10.2,NA,NA,Population,Yolo County,Ctar,WNV,Dodson_2012_Parasites&Vectors,Table 2,Day to first emergence (not mean)
Moye_006,1/MDR,31,7.6,NA,NA,Population,Yolo County,Ctar,WNV,Dodson_2012_Parasites&Vectors,Table 2,Day to first emergence (not mean)
Moye_006,1/MDR,19,13.6,NA,NA,Population,Yolo County,Ctar,WNV,Dodson_2012_Parasites&Vectors,Table 2,Day to first emergence (not mean)
Moye_006,1/MDR,25,10,NA,NA,Population,Yolo County,Ctar,WNV,Dodson_2012_Parasites&Vectors,Table 2,Day to first emergence (not mean)
Moye_006,1/MDR,31,7.6,NA,NA,Population,Yolo County,Ctar,WNV,Dodson_2012_Parasites&Vectors,Table 2,Day to first emergence (not mean)
Numazu_12,1/MDR,5,1000,NA,NA,NA,NA,Avex,NA,Trpis&Shemanchuk_1970_TheCanadianEntomologist,Results text,All larvae died in 1st instar
Numazu_12,1/MDR,10,43,NA,NA,NA,NA,Avex,NA,Trpis&Shemanchuk_1970_TheCanadianEntomologist,Figure 1,Median time to pupation
Numazu_12,1/MDR,15,17,NA,NA,NA,NA,Avex,NA,Trpis&Shemanchuk_1970_TheCanadianEntomologist,Figure 2,Median time to pupation
Numazu_12,1/MDR,20,8,NA,NA,NA,NA,Avex,NA,Trpis&Shemanchuk_1970_TheCanadianEntomologist,Figure 3,Median time to pupation
Numazu_12,1/MDR,25,6,NA,NA,NA,NA,Avex,NA,Trpis&Shemanchuk_1970_TheCanadianEntomologist,Figure 4,Median time to pupation
Numazu_12,1/MDR,30,6,NA,NA,NA,NA,Avex,NA,Trpis&Shemanchuk_1970_TheCanadianEntomologist,Figure 5,Median time to pupation
Numazu_7,1/MDR,21,31.88,0.6,0.6,Sex,Female,Avex,NA,Brust_1967_CanEntomol,Table 1,Converted from hours to days
Numazu_7,1/MDR,26.5,16.06,0.54,0.54,Sex,Female,Avex,NA,Brust_1967_CanEntomol,Table 1,Converted from hours to days
Numazu_7,1/MDR,32,13.02,0.46,0.46,Sex,Female,Avex,NA,Brust_1967_CanEntomol,Table 1,Converted from hours to days
Shocket,1/MDR,21,36.52,0.71,0.71,Sex,Female,Anig,NA,Brust_1967_CanEntomol,Table 2,Converted from hours to days
Shocket,1/MDR,26.5,15.46,0.48,0.48,Sex,Female,Anig,NA,Brust_1967_CanEntomol,Table 2,Converted from hours to days
Shocket,1/MDR,32,18.19,0.52,0.52,Sex,Female,Anig,NA,Brust_1967_CanEntomol,Table 2,Converted from hours to days
Shocket_109+110,1/MDR,10,39.8,1.9,1.9,NA,NA,Cpip,NA,Loetti_2011_JNatHist,Table 2,
Shocket_109,1/MDR,15,21.6,1.6,1.6,NA,NA,Cpip,NA,Loetti_2011_JNatHist,Table 2,
Shocket_109,1/MDR,20,13.3,2,2,NA,NA,Cpip,NA,Loetti_2011_JNatHist,Table 2,
Shocket_109,1/MDR,25,10.2,1.9,1.9,NA,NA,Cpip,NA,Loetti_2011_JNatHist,Table 2,
Shocket_109,1/MDR,30,8,1,1,NA,NA,Cpip,NA,Loetti_2011_JNatHist,Table 2,
Shocket_109,1/MDR,33,11.5,NA,NA,NA,NA,Cpip,NA,Loetti_2011_JNatHist,Table 2,
Shocket,1/MDR,16,20.5,20.1,20.9,Population,Low elevation,Cpip,NA,Ruybal_2016_Paras&Vec,Figure 2,
Shocket,1/MDR,20,13.1,13,13.3,Population,Low elevation,Cpip,NA,Ruybal_2016_Paras&Vec,Figure 2,
Shocket,1/MDR,24,9.9,9.7,10.2,Population,Low elevation,Cpip,NA,Ruybal_2016_Paras&Vec,Figure 2,
Shocket,1/MDR,27,8.9,8.8,9.1,Population,Low elevation,Cpip,NA,Ruybal_2016_Paras&Vec,Figure 2,
Shocket,1/MDR,31,8.3,8.2,8.3,Population,Low elevation,Cpip,NA,Ruybal_2016_Paras&Vec,Figure 2,
Shocket,1/MDR,16,22.5,22.3,22.7,Population,Mid latitude,Cpip,NA,Ruybal_2016_Paras&Vec,Figure 2,
Shocket,1/MDR,20,14.1,14,14.3,Population,Mid latitude,Cpip,NA,Ruybal_2016_Paras&Vec,Figure 2,
Shocket,1/MDR,24,11,10.9,11.1,Population,Mid latitude,Cpip,NA,Ruybal_2016_Paras&Vec,Figure 2,
Shocket,1/MDR,27,10.7,10.4,10.9,Population,Mid latitude,Cpip,NA,Ruybal_2016_Paras&Vec,Figure 2,
Shocket,1/MDR,31,9.5,9.2,9.7,Population,Mid latitude,Cpip,NA,Ruybal_2016_Paras&Vec,Figure 2,
Shocket,1/MDR,16,21.4,20.8,21.9,Population,Mid elevation,Cpip,NA,Ruybal_2016_Paras&Vec,Figure 2,
Shocket,1/MDR,20,13.6,13.2,14,Population,Mid elevation,Cpip,NA,Ruybal_2016_Paras&Vec,Figure 2,
Shocket,1/MDR,24,10.2,9.8,10.6,Population,Mid elevation,Cpip,NA,Ruybal_2016_Paras&Vec,Figure 2,
Shocket,1/MDR,27,8.9,8.7,9.1,Population,Mid elevation,Cpip,NA,Ruybal_2016_Paras&Vec,Figure 2,
Shocket,1/MDR,31,8.3,8.1,8.6,Population,Mid elevation,Cpip,NA,Ruybal_2016_Paras&Vec,Figure 2,
Shocket,1/MDR,16,22.4,NA,NA,Population,High elevation,Cpip,NA,Ruybal_2016_Paras&Vec,Figure 2,
Shocket,1/MDR,20,14.3,NA,NA,Population,High elevation,Cpip,NA,Ruybal_2016_Paras&Vec,Figure 2,
Shocket,1/MDR,24,10.7,NA,NA,Population,High elevation,Cpip,NA,Ruybal_2016_Paras&Vec,Figure 2,
Shocket,1/MDR,27,9.8,NA,NA,Population,High elevation,Cpip,NA,Ruybal_2016_Paras&Vec,Figure 2,
Shocket,1/MDR,31,9.5,NA,NA,Population,High elevation,Cpip,NA,Ruybal_2016_Paras&Vec,Figure 2,
Shocket,1/MDR,10,48.34,NA,NA,NA,NA,Cpip,NA,Ju-lin_2017_ChinJVectorBiol&Control,Table 2 + Table 3,Pupation time (from larvae to pupa) + eclosion time (pupa + adult); translated from Chinese
Shocket,1/MDR,15,30.17,NA,NA,NA,NA,Cpip,NA,Ju-lin_2017_ChinJVectorBiol&Control,Table 2 + Table 3,Pupation time (from larvae to pupa) + eclosion time (pupa + adult); translated from Chinese
Shocket,1/MDR,20,22.03,NA,NA,NA,NA,Cpip,NA,Ju-lin_2017_ChinJVectorBiol&Control,Table 2 + Table 3,Pupation time (from larvae to pupa) + eclosion time (pupa + adult); translated from Chinese
Shocket,1/MDR,25,16.64,NA,NA,NA,NA,Cpip,NA,Ju-lin_2017_ChinJVectorBiol&Control,Table 2 + Table 3,Pupation time (from larvae to pupa) + eclosion time (pupa + adult); translated from Chinese
Shocket,1/MDR,30,11.69,NA,NA,NA,NA,Cpip,NA,Ju-lin_2017_ChinJVectorBiol&Control,Table 2 + Table 3,Pupation time (from larvae to pupa) + eclosion time (pupa + adult); translated from Chinese
