trait.name,T,trait,ref,trait2,trait2.name
MDR,37,0.130508475,Witwatana_Kittayaong_2006_Med&VetEnt,NA,NA
MDR,20,0.063694268,Muturi_et_al_2011_JMedEnto,NA,NA
MDR,25,0.101626016,Muturi_et_al_2011_JMedEnto,NA,NA
MDR,30,0.121506683,Muturi_et_al_2011_JMedEnto,NA,NA
MDR,20,0.064102564,Muturi_et_al_2011_JMedEnto,NA,NA
MDR,25,0.035335689,Muturi_et_al_2011_JMedEnto,NA,NA
MDR,30,0.063291139,Muturi_et_al_2011_JMedEnto,NA,NA
MDR,22,0.075543232,Westbrook_Thesis_2010,NA,NA
MDR,27,0.10843753,Westbrook_Thesis_2010,NA,NA
MDR,32,0.121396268,Westbrook_Thesis_2010,NA,NA
MDR,22,0.091743119,Westbrook_Thesis_2010,NA,NA
MDR,27,0.135869565,Westbrook_Thesis_2010,NA,NA
MDR,32,0.158227848,Westbrook_Thesis_2010,NA,NA
MDR,12,0.01818,Briegel_etal_2001_JMedEnto,NA,NA
MDR,17,0.02941,Briegel_etal_2001_JMedEnto,NA,NA
MDR,27,0.07143,Briegel_etal_2001_JMedEnto,NA,NA
MDR,32,0.03125,Briegel_etal_2001_JMedEnto,NA,NA
b,18,0.523402938,Westbrook_et_al_2010_VecBorn&ZooDis,NA,NA
b,24,0.367678287,Westbrook_et_al_2010_VecBorn&ZooDis,NA,NA
b,32,0.195509644,Westbrook_et_al_2010_VecBorn&ZooDis,NA,NA
c,18,0.370584268,Westbrook_et_al_2010_VecBorn&ZooDis,NA,NA
c,24,0.274922311,Westbrook_et_al_2010_VecBorn&ZooDis,NA,NA
c,32,0.278106346,Westbrook_et_al_2010_VecBorn&ZooDis,NA,NA
c,22,0.643683282,Westbrook_Thesis_2010,NA,NA
c,27,0.781785426,Westbrook_Thesis_2010,NA,NA
c,32,0.75627037,Westbrook_Thesis_2010,NA,NA
TFD,15,20,Delatte_etal_2009_JMedEnto,NA,R1
TFD,20,42.63636364,Delatte_etal_2009_JMedEnto,NA,R1
TFD,20,51.8,Delatte_etal_2009_JMedEnto,NA,R2
TFD,20,80,Delatte_etal_2009_JMedEnto,NA,R3
TFD,20,77,Delatte_etal_2009_JMedEnto,NA,R4
TFD,25,68.61538462,Delatte_etal_2009_JMedEnto,NA,R1
TFD,25,70.85714286,Delatte_etal_2009_JMedEnto,NA,R2
TFD,25,74.30769231,Delatte_etal_2009_JMedEnto,NA,R3
TFD,25,53.66666667,Delatte_etal_2009_JMedEnto,NA,R4
TFD,25,39.66666667,Delatte_etal_2009_JMedEnto,NA,R5
TFD,25,101.5,Delatte_etal_2009_JMedEnto,NA,R6
TFD,25,35,Delatte_etal_2009_JMedEnto,NA,R7
TFD,25,18,Delatte_etal_2009_JMedEnto,NA,R8
TFD,30,77.19047619,Delatte_etal_2009_JMedEnto,NA,R1
TFD,30,98.68421053,Delatte_etal_2009_JMedEnto,NA,R2
TFD,30,60.3125,Delatte_etal_2009_JMedEnto,NA,R3
TFD,30,67.90909091,Delatte_etal_2009_JMedEnto,NA,R4
TFD,30,67.66666667,Delatte_etal_2009_JMedEnto,NA,R5
TFD,30,41.75,Delatte_etal_2009_JMedEnto,NA,R6
TFD,30,14.5,Delatte_etal_2009_JMedEnto,NA,R7
TFD,35,47.93333333,Delatte_etal_2009_JMedEnto,NA,R1
TFD,35,51.5,Delatte_etal_2009_JMedEnto,NA,R2
GCD,20,7,Delatte_etal_2009_JMedEnto,NA,NA
GCD,20,7,Delatte_etal_2009_JMedEnto,NA,NA
GCD,20,14,Delatte_etal_2009_JMedEnto,NA,NA
GCD,20,11,Delatte_etal_2009_JMedEnto,NA,NA
GCD,20,5,Delatte_etal_2009_JMedEnto,NA,NA
GCD,20,8,Delatte_etal_2009_JMedEnto,NA,NA
GCD,20,5,Delatte_etal_2009_JMedEnto,NA,NA
GCD,20,9,Delatte_etal_2009_JMedEnto,NA,NA
GCD,20,18,Delatte_etal_2009_JMedEnto,NA,NA
GCD,20,5,Delatte_etal_2009_JMedEnto,NA,NA
GCD,20,6,Delatte_etal_2009_JMedEnto,NA,NA
GCD,20,9,Delatte_etal_2009_JMedEnto,NA,NA
GCD,20,10,Delatte_etal_2009_JMedEnto,NA,NA
GCD,20,5,Delatte_etal_2009_JMedEnto,NA,NA
GCD,20,5,Delatte_etal_2009_JMedEnto,NA,NA
GCD,20,11,Delatte_etal_2009_JMedEnto,NA,NA
GCD,20,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,20,9,Delatte_etal_2009_JMedEnto,NA,NA
GCD,20,6,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,5,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,7,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,5,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,5,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,5,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,5,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,15,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,8,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,5,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,6,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,8,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,6,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,7,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,5,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,5,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,5,Delatte_etal_2009_JMedEnto,NA,NA
GCD,25,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,2,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,2,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,7,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,5,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,2,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,5,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,2,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,2,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,2,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,5,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,5,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,6,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,5,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,8,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,2,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,2,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,5,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,7,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,5,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,7,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,4,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,30,1,Delatte_etal_2009_JMedEnto,NA,NA
GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,35,6,Delatte_etal_2009_JMedEnto,NA,NA
GCD,35,13,Delatte_etal_2009_JMedEnto,NA,NA
GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,35,7,Delatte_etal_2009_JMedEnto,NA,NA
GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,35,2,Delatte_etal_2009_JMedEnto,NA,NA
GCD,35,6,Delatte_etal_2009_JMedEnto,NA,NA
GCD,35,10,Delatte_etal_2009_JMedEnto,NA,NA
GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,35,3,Delatte_etal_2009_JMedEnto,NA,NA
GCD,35,4,Delatte_etal_2009_JMedEnto,NA,NA
MDR,15,0.032876712,Delatte_etal_2009_JMedEnto,NA,NA
MDR,15,0.027952481,Delatte_etal_2009_JMedEnto,NA,NA
MDR,15,0.029813665,Delatte_etal_2009_JMedEnto,NA,NA
MDR,15,0.032476319,Delatte_etal_2009_JMedEnto,NA,NA
MDR,15,0.028985507,Delatte_etal_2009_JMedEnto,NA,NA
MDR,15,0.03033367,Delatte_etal_2009_JMedEnto,NA,NA
MDR,15,0.033333333,Delatte_etal_2009_JMedEnto,NA,NA
MDR,15,0.029739777,Delatte_etal_2009_JMedEnto,NA,NA
MDR,20,0.104347826,Delatte_etal_2009_JMedEnto,NA,NA
MDR,20,0.082379863,Delatte_etal_2009_JMedEnto,NA,NA
MDR,20,0.089241448,Delatte_etal_2009_JMedEnto,NA,NA
MDR,20,0.092273892,Delatte_etal_2009_JMedEnto,NA,NA
MDR,20,0.071319409,Delatte_etal_2009_JMedEnto,NA,NA
MDR,20,0.071784646,Delatte_etal_2009_JMedEnto,NA,NA
MDR,20,0.106904232,Delatte_etal_2009_JMedEnto,NA,NA
MDR,20,0.082987552,Delatte_etal_2009_JMedEnto,NA,NA
MDR,25,0.144578313,Delatte_etal_2009_JMedEnto,NA,NA
MDR,25,0.145228216,Delatte_etal_2009_JMedEnto,NA,NA
MDR,25,0.131004367,Delatte_etal_2009_JMedEnto,NA,NA
MDR,25,0.176322418,Delatte_etal_2009_JMedEnto,NA,NA
MDR,25,0.122511485,Delatte_etal_2009_JMedEnto,NA,NA
MDR,25,0.108583247,Delatte_etal_2009_JMedEnto,NA,NA
MDR,25,0.128824477,Delatte_etal_2009_JMedEnto,NA,NA
MDR,25,0.105527638,Delatte_etal_2009_JMedEnto,NA,NA
MDR,30,0.211764706,Delatte_etal_2009_JMedEnto,NA,NA
MDR,30,0.199445983,Delatte_etal_2009_JMedEnto,NA,NA
MDR,30,0.162162162,Delatte_etal_2009_JMedEnto,NA,NA
MDR,30,0.171428571,Delatte_etal_2009_JMedEnto,NA,NA
MDR,30,0.154340836,Delatte_etal_2009_JMedEnto,NA,NA
MDR,30,0.115226337,Delatte_etal_2009_JMedEnto,NA,NA
MDR,30,0.147239264,Delatte_etal_2009_JMedEnto,NA,NA
MDR,30,0.151679307,Delatte_etal_2009_JMedEnto,NA,NA
MDR,35,0.190800681,Delatte_etal_2009_JMedEnto,NA,NA
MDR,35,0.181818182,Delatte_etal_2009_JMedEnto,NA,NA
c,15,0.68,Lambrects_et_al_2011_PNAS,NA,NA
c,18,0.57,Lambrects_et_al_2011_PNAS,NA,NA
c,22,0.95,Lambrects_et_al_2011_PNAS,NA,NA
c,32,1,Lambrects_et_al_2011_PNAS,NA,NA
c,15,0.73,Lambrects_et_al_2011_PNAS,NA,NA
c,18,0.73,Lambrects_et_al_2011_PNAS,NA,NA
c,22,0.95,Lambrects_et_al_2011_PNAS,NA,NA
c,32,1,Lambrects_et_al_2011_PNAS,NA,NA
c,20,0.96,Lambrects_et_al_2011_PNAS,NA,NA
c,27,0.97,Lambrects_et_al_2011_PNAS,NA,NA
c,20,1,Lambrects_et_al_2011_PNAS,NA,NA
c,27,1,Lambrects_et_al_2011_PNAS,NA,NA
c,20,1,Lambrects_et_al_2011_PNAS,NA,NA
c,27,1,Lambrects_et_al_2011_PNAS,NA,NA
c,10,0.08,Lambrects_et_al_2011_PNAS,NA,NA
c,15,0.6,Lambrects_et_al_2011_PNAS,NA,NA
c,20,0.72,Lambrects_et_al_2011_PNAS,NA,NA
c,25,0.68,Lambrects_et_al_2011_PNAS,NA,NA
c,30,0.72,Lambrects_et_al_2011_PNAS,NA,NA
c,18,1,Lambrects_et_al_2011_PNAS,NA,NA
c,26,1,Lambrects_et_al_2011_PNAS,NA,NA
c,26,0.96,Lambrects_et_al_2011_PNAS,NA,NA
c,18,0.86,Lambrects_et_al_2011_PNAS,NA,NA
c,20,1,Lambrects_et_al_2011_PNAS,NA,NA
c,26,1,Lambrects_et_al_2011_PNAS,NA,NA
c,30,1,Lambrects_et_al_2011_PNAS,NA,NA
c,26,0.92,Lambrects_et_al_2011_PNAS,NA,NA
c,26,0.9,Lambrects_et_al_2011_PNAS,NA,NA
c,26,0.69,Lambrects_et_al_2011_PNAS,NA,NA
c,26,1,Lambrects_et_al_2011_PNAS,NA,NA
c,26,1,Lambrects_et_al_2011_PNAS,NA,NA
c,25,0.3,Lambrects_et_al_2011_PNAS,NA,NA
c,28,0.52,Lambrects_et_al_2011_PNAS,NA,NA
c,30,0.93,Lambrects_et_al_2011_PNAS,NA,NA
c,28,1,Lambrects_et_al_2011_PNAS,NA,NA
c,25,1,Lambrects_et_al_2011_PNAS,NA,NA
c,27,0.96,Lambrects_et_al_2011_PNAS,NA,NA
c,27,1,Lambrects_et_al_2011_PNAS,NA,NA
b,14,0.12,Lambrects_et_al_2011_PNAS,NA,NA
b,18,0.45,Lambrects_et_al_2011_PNAS,NA,NA
b,22,0.81,Lambrects_et_al_2011_PNAS,NA,NA
b,26,0.9,Lambrects_et_al_2011_PNAS,NA,NA
b,30,0.85,Lambrects_et_al_2011_PNAS,NA,NA
b,15,0.05,Lambrects_et_al_2011_PNAS,NA,NA
b,18,0.05,Lambrects_et_al_2011_PNAS,NA,NA
b,22,0.25,Lambrects_et_al_2011_PNAS,NA,NA
b,32,0.44,Lambrects_et_al_2011_PNAS,NA,NA
b,15,0,Lambrects_et_al_2011_PNAS,NA,NA
b,18,0.1,Lambrects_et_al_2011_PNAS,NA,NA
b,22,0.51,Lambrects_et_al_2011_PNAS,NA,NA
b,32,0.48,Lambrects_et_al_2011_PNAS,NA,NA
b,20,0.83,Lambrects_et_al_2011_PNAS,NA,NA
b,27,0.83,Lambrects_et_al_2011_PNAS,NA,NA
b,20,0.9,Lambrects_et_al_2011_PNAS,NA,NA
b,27,1,Lambrects_et_al_2011_PNAS,NA,NA
b,20,0.93,Lambrects_et_al_2011_PNAS,NA,NA
b,27,1,Lambrects_et_al_2011_PNAS,NA,NA
b,10,0,Lambrects_et_al_2011_PNAS,NA,NA
b,15,0.17,Lambrects_et_al_2011_PNAS,NA,NA
b,20,0.7,Lambrects_et_al_2011_PNAS,NA,NA
b,25,0.9,Lambrects_et_al_2011_PNAS,NA,NA
b,30,0.8,Lambrects_et_al_2011_PNAS,NA,NA
b,18,0.48,Lambrects_et_al_2011_PNAS,NA,NA
b,26,0.97,Lambrects_et_al_2011_PNAS,NA,NA
c,20,0.781443299,Alto&Bettinardi_2013_AJTMH,NA,NA
c,20,0.725773196,Alto&Bettinardi_2013_AJTMH,NA,NA
c,30,0.641237113,Alto&Bettinardi_2013_AJTMH,NA,NA
c,30,0.655670103,Alto&Bettinardi_2013_AJTMH,NA,NA
c,25,0.727835052,Alto&Bettinardi_2013_AJTMH,NA,NA
b,20,0.06185567,Alto&Bettinardi_2013_AJTMH,NA,NA
b,20,0.037113402,Alto&Bettinardi_2013_AJTMH,NA,NA
b,30,0.760824742,Alto&Bettinardi_2013_AJTMH,NA,NA
b,30,0.962886598,Alto&Bettinardi_2013_AJTMH,NA,NA
b,25,0.672164948,Alto&Bettinardi_2013_AJTMH,NA,NA
1/mu,15,19.45,Calado_Navarro-Silva_2002_RevistaBrasileraDeEntomologia,NA,NA
1/mu,20,59.35,Calado_Navarro-Silva_2002_RevistaBrasileraDeEntomologia,NA,NA
1/mu,25,61.55,Calado_Navarro-Silva_2002_RevistaBrasileraDeEntomologia,NA,NA
1/mu,30,42.72,Calado_Navarro-Silva_2002_RevistaBrasileraDeEntomologia,NA,NA
EFD,20,1.3,Calado_Navarro-Silva_2002_RevistaBrasileraDeEntomologia,NA,NA
EFD,25,4.2,Calado_Navarro-Silva_2002_RevistaBrasileraDeEntomologia,NA,NA
EFD,30,3.73,Calado_Navarro-Silva_2002_RevistaBrasileraDeEntomologia,NA,NA
1/MDR,15,79.75,Calado_Navarro-Silva_2002b_RevSaudaPublica,NA,NA
1/MDR,20,39.2,Calado_Navarro-Silva_2002b_RevSaudaPublica,NA,NA
1/MDR,25,23.76,Calado_Navarro-Silva_2002b_RevSaudaPublica,NA,NA
1/MDR,30,18.48,Calado_Navarro-Silva_2002b_RevSaudaPublica,NA,NA
prop.dead,22,0.00632987,Alto_et_al_2001b,NA,NA
prop.dead,22,0.007067138,Alto_et_al_2001b,NA,NA
prop.dead,22,0.007984312,Alto_et_al_2001b,NA,NA
prop.dead,26,0.012573964,Alto_et_al_2001b,NA,NA
prop.dead,26,0.013379872,Alto_et_al_2001b,NA,NA
prop.dead,26,0.01698036,Alto_et_al_2001b,NA,NA
prop.dead,30,0.026805424,Alto_et_al_2001b,NA,NA
prop.dead,30,0.031273837,Alto_et_al_2001b,NA,NA
prop.dead,30,0.023961063,Alto_et_al_2001b,NA,NA
prop.dead,22,0.007263355,Alto_et_al_2001b,NA,NA
MDR,20,0.062663185,Ezeakacha_Dissertation_2015,NA,NA
MDR,20,0.060913091,Ezeakacha_Dissertation_2015,NA,NA
MDR,20,0.054318904,Ezeakacha_Dissertation_2015,NA,NA
MDR,27,0.12064632,Ezeakacha_Dissertation_2015,NA,NA
MDR,27,0.112511735,Ezeakacha_Dissertation_2015,NA,NA
MDR,27,0.095997154,Ezeakacha_Dissertation_2015,NA,NA
MDR,34,0.101061142,Ezeakacha_Dissertation_2015,NA,NA
MDR,34,0.095663265,Ezeakacha_Dissertation_2015,NA,NA
MDR,34,0.084262451,Ezeakacha_Dissertation_2015,NA,NA
TFD,20,77.8,Ezeakacha_Dissertation_2015,NA,NA
TFD,20,73.9,Ezeakacha_Dissertation_2015,NA,NA
TFD,27,58.2,Ezeakacha_Dissertation_2015,NA,NA
TFD,27,30.4,Ezeakacha_Dissertation_2015,NA,NA
TFD,34,35.7,Ezeakacha_Dissertation_2015,NA,NA
TFD,34,7.2,Ezeakacha_Dissertation_2015,NA,NA
1/mu,20,12,Ezeakacha_Dissertation_2015,starved,feeding condition
1/mu,20,9,Ezeakacha_Dissertation_2015,starved,feeding condition
1/mu,20,11,Ezeakacha_Dissertation_2015,starved,feeding condition
1/mu,27,7,Ezeakacha_Dissertation_2015,starved,feeding condition
1/mu,27,7,Ezeakacha_Dissertation_2015,starved,feeding condition
1/mu,27,6,Ezeakacha_Dissertation_2015,starved,feeding condition
1/mu,34,6,Ezeakacha_Dissertation_2015,starved,feeding condition
1/mu,34,5,Ezeakacha_Dissertation_2015,starved,feeding condition
1/mu,34,6,Ezeakacha_Dissertation_2015,starved,feeding condition
1/mu,20,141,Ezeakacha_Dissertation_2015,sugar-fed,feeding condition
1/mu,20,102,Ezeakacha_Dissertation_2015,sugar-fed,feeding condition
1/mu,20,98,Ezeakacha_Dissertation_2015,sugar-fed,feeding condition
1/mu,27,98,Ezeakacha_Dissertation_2015,sugar-fed,feeding condition
1/mu,27,76,Ezeakacha_Dissertation_2015,sugar-fed,feeding condition
1/mu,27,84,Ezeakacha_Dissertation_2015,sugar-fed,feeding condition
1/mu,34,35,Ezeakacha_Dissertation_2015,sugar-fed,feeding condition
1/mu,34,42,Ezeakacha_Dissertation_2015,sugar-fed,feeding condition
1/mu,34,24,Ezeakacha_Dissertation_2015,sugar-fed,feeding condition
1/MDR,21,22.84782609,Yee_et al_2016 JAE_in_review,NA,NA
1/MDR,21,20.5,Yee_et al_2016 JAE_in_review,NA,NA
1/MDR,21,17.08197,Yee_et al_2016 JAE_in_review,NA,NA
1/MDR,21,15.80682,Yee_et al_2016 JAE_in_review,NA,NA
1/MDR,21,16.5641,Yee_et al_2016 JAE_in_review,NA,NA
1/MDR,21,16.08974,Yee_et al_2016 JAE_in_review,NA,NA
1/MDR,21,17,Yee_et al_2016 JAE_in_review,NA,NA
1/MDR,21,15.71429,Yee_et al_2016 JAE_in_review,NA,NA
1/MDR,25,13.85185,Yee_et al_2016 JAE_in_review,NA,NA
1/MDR,25,15.32653,Yee_et al_2016 JAE_in_review,NA,NA
1/MDR,25,11.07059,Yee_et al_2016 JAE_in_review,NA,NA
1/MDR,25,10.88679,Yee_et al_2016 JAE_in_review,NA,NA
1/MDR,25,11.22951,Yee_et al_2016 JAE_in_review,NA,NA
1/MDR,25,11.77778,Yee_et al_2016 JAE_in_review,NA,NA
1/MDR,25,11.97727,Yee_et al_2016 JAE_in_review,NA,NA
1/MDR,25,11.74713,Yee_et al_2016 JAE_in_review,NA,NA
TFD,25,54.47058824,Yee_et al_2016 JAE_in_review,NA,NA
